age,gender,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income,edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
58.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,1.11590786616,1.0,1,0,1,1,0,1,3,0,0,1,3,2.0,2.0,1.0,0.0,1.0,2.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,20.569203971,0.0,0,0,0,0,0,0,3,0,1,0,0,1.0,2.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
65.0,0,0,0,1,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,1.11590786616,1.0,0,1,1,1,0,3,2,2,1,2,0,2.0,2.0,1.0,0.0,1.0,2.0,2,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1
61.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,8.85945358769,0.0,0,0,0,0,0,3,3,3,2,0,0,2.0,1.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
53.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,0.923735829039,1.0,0,1,1,1,0,0,2,3,3,3,2,1.0,1.0,1.0,1.0,1.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45.0,0,0,0,0,0,0,5.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,2.02333718579,0.0,0,0,1,1,0,0,0,0,3,0,1,2.0,0.0,0.0,0.0,1.0,1.0,2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1
41.0,0,1,0,0,0,0,2.0,1.0,0.0,0.0,1,1,0,1,0,0,0,1,2.34033202078,1.0,1,0,1,1,0,3,3,3,3,2,1,2.0,2.0,1.0,1.0,1.0,2.0,1,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0
37.0,1,1,0,0,0,0,6.0,1.0,0.0,0.0,0,1,1,0,1,0,0,0,0.904074593135,1.0,1,0,1,0,1,2,2,0,0,0,3,1.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1
50.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,0.904074593135,0.0,0,0,0,0,0,2,0,0,3,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
68.0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0.827932450894,0.0,0,0,1,1,0,1,3,0,3,3,0,2.0,1.0,1.0,0.0,1.0,1.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
